"Table 8-1 DENSITY OF LIQUID - ORGANIC COMPOUNDS"
""
"density = A B! TT""""                       (density - g/ml, T - K)"
"50  |CS2           CARBON DISULFIDE                     0.47589     0.28749     0.32260     552.00   161.58    552.00         1.256"
"51  |C2BrF3        BROMOTRIFLUOROETHYLENE               0.67050     0.24000     0.30000     432.00   173.00    432.00         1.830"
"52  |C2Br2F4       1,2-DIBROMOTETRAFLUOROETHANE         0.76194     0.26172     0.26547     487.80   162.65    487.80        2.162"
"53  |C2CIF3        CHLOROTRIFLUOROETHYLENE              0.55068     0.25930     0.30740     379.15   115.00    379.15         1.275"
"54  |C2CIF5        CHLOROPENTAFLUOROETHANE              0.61452     0.28454     0.28530     353.15   173.71    353.15         1.287"
"55  |C2ClI2F4      1,2-DICHLOROTETRAFLUOROETHANE        0.57270     0.26920     0.27450     418.85   179.15    418.85        1.455"
"56  |C2CI3F3       1,1,2-TRICHLOROTRIFLUOROETHANE       0.57596     0.27178     0.28040     487.25   238.15    487.25         1.564"
"57  |C2Cl4         TETRACHLOROETHYLENE                  0.66671     0.32758     0.35630     620.00   250.80    620.00        1.613"
"58  |C2Cl4F2       1,1,2,2-TETRACHLORODIFLUOROETHANE    0.57239     0.26740     0.28570     551.00   299.15    551.00        e"
"59  |C2Cl40        TRICHLOROACETYL CHLORIDE             0.55730     0.27270     0.28570     590.00   273.15    590.00        1.613"
"60  [C2Cl6         HEXACHLOROETHANE                     0.57460     0.23700     0.28571     698.00   459.95    698.00        —-—--"
"61  |C2F4          TETRAFLUOROETHYLENE                  0.57587     0.26880     0.28571     306.45   142.00    306.45        0.920"
"62  |C2F6          HEXAFLUOROETHANE                     0.61625     0.26693     0.29794     292.80   172.45    292.80        ∙⋅−∙∙∙∙⋅∙"
"63  |C2HBrCIF3     HALOTHANE                            0.66571    0.26831      0.28571     521.00   223.15    521.00         1.869"
"64  |C2HCIF2       2-CHLORO-1,1-DIFLUOROETHYLENE        0.50014     0.26765     0.28820     400.55   134.65    400.55        1.217"
"65  |C2HCI3        TRICHLOROETHYLENE                    0.50416     0.26952     0.28571     571.00   188.40    571.00        1.458"
"66  |C2HCI3O       DICHLOROACETYL CHLORIDE              0.52331     0.26970     0.28570     579.00   298.15    579.00        1.519"
"67  |C2HCI3O       TRICHLOROACETALDEHYDE                0.51178     0.26596     0.27840     565.00   216.00    565.00        1.499"
"68  [C2HCI5        PENTACHLOROETHANE                    0.54822     0.26628     0.28491     665.00   244.15    665.00        1.675"
"69  |C2HF3         TRIFLUOROETHENE                      0.44950     0.28600     0.28571     347.22    94.53    347.22        0.919"
"70  |C2HF302       TRIFLUOROACETIC ACID                 0.55894     0.27475     0.30290     491.25   257.90    491.25        1.480"
"71  [C2HF5         PENTAFLUOROETHANE                    0.55633     0.26100     0.28571     342.00   170.15    342.00        1.174"
"72  |C2H2          ACETYLENE                            0.23017     0.27091     0.28571     308.32   192.40    308.32        0.377"
"73  |C2H2Br4       1,1,2,2-TETRABROMOETHANE             0.86181     0.26030     0.21400     824.00   273.15    824.00        2.927"
"74  |C2H2CI2       1,1-DICHLOROETHYLENE                 0.43624     0.29000     0.28571     482.00   150.65    482.00        1.117"
"75  |C2H2CI2       cis-1,2-DICHLOROETHYLENE             0.43930     0.26128     0.28570     527.00   193.15    527.00        1.265"
"76  |C2H2CI2       trans-1,2-DICHLOROETHYLENE           0.44616     0.26700     0.28570     508.00   223.35    508.00        1.244"
"77  |C2H2CI20      CHLOROACETYL CHLORIDE                0.47008     0.25420     0.28570     581.00   251.15    581.00        1.434"
"78  |C2H2CI20      DICHLOROACETALDEHYDE                 0.47708     0.25395     0.28571     555.00   223.00    555.00        1.433"
""
"189"
"                   Table 8-1 DENSITY OF LIQUID - ORGANIC COMPOUNDS (continued)"
""
"density = A B~ -Tmern                  (density - g/ml, T - K)"
"NO     FORMULA                    NAME                   A        B           n         Tc     TMIN     TMAX     |density@25C"
"79  |C2H2CI202   DICHLOROACETIC ACID                0.48656    0.24720    0.32550     686.00   286.55   686.00        1,553"
"80  |[C2H2CI3F   1,1,1-TRICHLOROFLUOROETHANE        0.51435    0.25000    0.28571     565.00   173.00   565.00       1.575"
"81  |C2H2CH4     1,1,1,2-TETRACHLOROETHANE          0.50079    0.25970    0.28570     624.00   202.94   624.00       1.535"
"82  |C2H2Cl4     1,1,2,2-TETRACHLOROETHANE          0.51649    0.25953    0.29593     645.00   229.35   645.00       1.587"
"83  |C2H2F2      1,1-DIFLUOROETHYLENE               0.40029    0.23820    0.30940     302.80   129.15   302.80      10.594"
"84  |C2H2F2      cis-1,2-DIFLUOROETHENE             0.39170    0.23800    0.28571     394.67   107.90   394.67       1.023"
"85  |C2H2F2      trans-1,2-DIFLUOROETHENE           0.39170    0.23800    0.28571     394.67   107.90   394.67       1.023"
"86  |C2H2F4      1,1,1,2-TETRAFLUOROETHANE          0.49834    0.24141    0.31372     380.00   172.15   380.00       1.199"
"87  |C2H20       KETENE                             0.29188    0.27200    0.28571     370.00   122.00   370.00       0.660"
"88  |C2H204      OXALIC ACID                        0.43975    0.21500    0.28571     804.00   462.65   804.00       e"
"89  |C2H3Br      VINYL BROMIDE                      0.53515    0.25321    0.28900     473.00   135.35   473.00       1.499"
"90  |C2H3CI      VINYL CHLORIDE                     0.34897    0.27070    0.27160     432.00   119.36   432.00       0.903"
"91  |C2H3CIF2    1-CHLORO-1,1-DIFLUOROETHANE        0.42636    0.24537    0.29800     410.20   142.35   410.20       1.107"
"92  |[C2H3CIO    ACETYL CHLORIDE                    0.39703    0.26869    0.28570     508.00   160.30   508.00       1.102"
"93  |C2H3CIO     CHLOROACETALDEHYDE                 0.38125    0.23960    0.28571     555.00   293.00   555.00       1.200"
"94  |C2H3CIO2    CHLOROACETIC ACID                  041192     0.23248    0.28571     686.00   333.15   686.00      −∙−⋅∙∙∙∙"
"95C2H3C|02       METHYL CHLOROFORMATE               0.42760    0.26789    0.27814     525.00   192.00   525.00       1.213"
"96  |C2H3CI3     1,1,1-TRICHLOROETHANE              047476     0.27258    0.29333     545.00   242.75   545.00       1.330"
"97  |C2H3CI3     1,1,2-TRICHLOROETHANE              0.47455    0.25475    0.31000     602.00   236.50   602.00       1.435"
"98  |C2H3F       VINYL FLUORIDE                     0.32311    0.27390    0.28571     327.80   112.65   327.80       0.620"
"99   |C2HIF3     1,1,1-TRIFLUOROETHANE              042934     026210     0.26200     346.20   161.85   346.25      0.953"
"100 |C2H3N       ACETONITRILE                       0.23730   0.22642     0.28128     545.50   229.32   545.50      0.779"
"101 |C2H3NO      METHYL ISOCYANATE                  0.30084   0.23442     0.28571     505.00   256.15   505.00      0.926"
"102 |C2H4        ETHYLENE                           0.21428   0.28061     0.28571     282.36   104.01   282.36      --—-—-"
"103 |C2H4Br2     1,1-DIBROMOETHANE                  0.68067   0.26364     0.29825     628.00   210.15   628.00       2.045"
"104 |C2H4Br2     1,2-DIBROMOETHANE                  0.71466   0.26634     0.28571     650.15   282.94   650.15       2.169"
"105 |C2H4CI2     1,1-DICHLOROETHANE                 0.41231   0.26533     0.28700     523.00   176.19   523.00       1.168"
"106 |C2H4CI2     1,2-DICHLOROETHANE                 0.46501   0.28742     0.31041     561.00   237.49   561.00       1.246"
"107 |C2H4CI20    BIS(CHLOROMETHYL)ETHER             0.43043   0.25410     0.28570     579.00   231.65   579.00       1.312"
"108 |C2H4F2      1,1-DIFLUOROETHANE                 0.36462   0.25640     0.27970     386.60   156.15   386.60      0.898"
"109 |C2H4F2      1,2-DIFLUOROETHANE                 0.32624   0.22210     0.28570     476.00   215.00   476.00       1.016"
"110 |C2H4I2      1,2-DIIODOETHANE                   0.87130   0.24500     0.28571     749.91   356.16   749.91      ——e"
"111 |C2H40       ACETALDEHYDE                       0.28207   0.26004     0.27760     461.00   150.15   461.00      0.774"
"112 |C2H40       ETHYLENE OXIDE                     0.31402   0.26089     0.28253     469.15   161.45   469.15      0.862"
"113 [C2H40S      THIOACETIC-ACID                    0.41630   0.31700     0.28571     577.34   150.16   577.34       1.0569"
"114 |C2H402      ACETIC ACID                        0.35182   0.26954     0.26843     592.71   289.81   592.71       1.043"
"115 |C2H402      METHYL FORMATE                     0.34143   0.25838     0.27680     487.20   174.15   487.20      0.967"
"116 |C2H4S       THIACYCLOPROPANE                   0.29230   0.21400     0.28571     555.00   165.37   555.00       1.007"
"117 |C2H5Br      BROMOETHANE                        0.50699   0.25918     0.27980     503.80   154.55   503.80       1.450"
"118 |C2H5CI      ETHYL CHLORIDE                     0.32259   0.27464     0.23140     460.35   136.75   460.35      0.890"
"119 |C2H5CIO     2-CHLOROETHANOL                    0.37979   0.26160     0.21893     585.00   205.65   585.00       1.196"
"120 |(C2HSF      ETHYL FLUORIDE                     0.29307   0.27099     0.24420     375.31   129.95   375.31      0.712"
"121 |C2HSI       ETHYL IODIDE                       0.65415   0.25912     0.29853     561.00   162.05   561.00       1.920"
"122 [C2HS5N      ETHYLENEIMINE                      0.24895   0.23289     0.23357     537.00   195.20   537.00      0.831"
"123 |C2H5NO      ACETAMIDE                          0.28126   0.21906     0.28570     761.00   354.15   761.00      e"
"124 |C2H5NO      N-METHYLFORMAMIDE                  0.27473   0.22427     0.27470     721.00   269.35   721.00      0.999"
"125 |C2H5NO2     NITROETHANE                        0.31810   0.23655     0.27800     593.00   183.63   593.00      1.043"
"126 |C2H5NO3     ETHYL-NITRATE                       e         ∙∙⋅∙∙∙∙∙    ∙∙∙∙∙∙∙−   ∙∙∙∙∙∙∙∙∙∙∙∙∙∙⋅∙∙∙−∙∙∙∙∙      ∙∙∙∙∙∙∙∙"
"127 |C2H6        ETHANE                             0.20087   0.27330     0.28330     30542     90.35   305.42      0.315"
"128 |C2H6AICI    DIMETHYLALUMINUM CHLORIDE          0.28732   0.22536     0.28571     619.00   252.16   619.00      0.988"
"129 |C2H60       DIMETHYL ETHER                     0.26390   0.26325     0.28060     400.10   131.66   400.10      0.655"
"130 |C2H60       ETHANOL                            0.26570   0.26395     0.23670     516.25   159.06   516.25      0.787"
"131 |C2H60S      DIMETHYL SULFOXIDE                 0.34418   0.25344     0.32197     726.00   291.67   726.00      1.095"
"132 |C2H602      ETHYLENE GLYCOL                    0.32503   0.25499     0.17200     645.00   260.15   645.00      1.110"
"133 |C2H604S     DIMETHYL SULFATE                   0.43048   0.25926     0.37020     758.00   241.35   758.00      1.322"
"134 |C2H6S       DIMETHYL SULFIDE                   0.30676   0.26780     0.28571     503.04   174.88   503.04      0.850"
"135 |C2H6S       ETHYL MERCAPTAN                    0.30092   0.26940     0.27866     499.15   125.26   499.15      0.833"
"136 [C2H6S2      DIMETHYL DISULFIDE                 0.37382   0.27705     0.31143     606.00   188.44   606.00      1.057"
"137 |C2H7N       DIMETHYLAMINE                      0.24110   0.26785     0.24800     437.65   180.96   437.65      0.650"
"138 |C2H7N       ETHYLAMINE                         0.24773   0.25651     0.28589     456.15   192.15   456.15      0.677"
"139 |C2H7NO      MONOETHANOLAMINE                   0.27149   0.22411     0.20150     638.00   283.65   638.00      1.014"
"140 |C2HBN2      ETHYLENEDIAMINE               .    0.22765   0.20726     0.20173     593.00   284.29   593.00      0.893"
"141 |C2H8Si      DIMETHYL SILANE                    0.23323   0.26351     0.28421     402.00   122.93   402.00      0.578"
"142 |C2N2        CYANOGEN                           0.26685   0.20984     0.20635     400.15   245.25   400.15      0.866"
"143 |[C3F6       HEXAFLUOROPROPYLENE                0.55973   0.24195     0.31130     368.00   116.65   368.00      1.304"
"144 |C3F60       HEXAFLUOROACETONE                  0.50475   0.23393     0.22900     357.14   151.15   357.14      1.321"
"145 |C3F8        OCTAFLUOROPROPANE                  0.62735   0.27240     0.28170     345.05   125.46   345.05      1.317"
"146 |C3H2N2      MALONONITRILE                      0.26638   0.20459     0.26090     715.00   304.90   715.00      —---—"
"147C3H3CI        PROPARGYL CHLORIDE                 0.35313   0.25459     0.31320     541.00   293.00   541.00      1.024"
"148 |C3H3N       ACRYLONITRILE                      0.25030   0.22930     0.28939     535.00   189.63   535.00      0.801"
"149 |C3H3NO      OXAZOLE                            0.29167   0.32500     0.28571     554.00   189.15   554.00      0.718"
"150 [C3H4        METHYLACETYLENE                    0.24368   0.26448     0.27900     402.39   170.45   402.39      0.607"
"151 |C3H4        PROPADIENE                         0.24731   0.27017     0.30300     393.15   136.87   393.15      0.579"
"152 |C3H4CI2     2,3-DICHLOROPROPENE                0.40062   0.25367     0.30630     577.00   191.50   577.00      1.201"
"153 |C3H40       ACROLEIN                           0.28459   0.26124     0.24890     506.00   185.45   506.00      0.834"
"154 |C3H40       PROPARGYL ALCOHOL                  0.30488   0.24900     0.28570     580.00   221.35   580.00      0.945"
"155 |C3H402      ACRYLIC ACID                       0.34645   0.25822     0.30701     615.00   286.65   615.00      1.046"
"156 |C3H402      beta-PROPIOLACTONE                 0.36994   0.23600     0.28571     686.00   239.75   686.00      1.262"
""
"190"
"                       Table 8-1 DENSITY OF LIQUID - ORGANIC COMPOUNDS (continued)"
""
"density = A B! TTo""""                  (density - g/ml, T - K)"
"NO        FORMULA                    NAME              A            B           n       Te      TMIN TMAX density @ 25 C"
"157    |C3H402      VINYL FORMATE                   0.33220    0.25151      0.29455 498.00 200.00 498.00       0.954"
"158    |C3H403      ETHYLENE CARBONATE              0.38298    0.23700      0.28600 790.00 309.55 790.00       —"
"159    |C3H403      PYRUVIC ACID                    0.36842    0.23910      0.23400 634.52 286.75 634.52       1.265"
"160    |C3H5Br      3-BROMO-1-PROPENE               0.50790    0.28200      0.28571 540.20 153.76 540.20       1.389"
"161    |C3H5CI      2-CHLOROPROPENE                 0.33385    0.27165      0.28571 478.00 135.75 478.00       0.895"
"162    |C3H5CI      3-CHLOROPROPENE                 0.32483    0.25957      0.28570 514.15 138.65 514.15       0.931"
"163    |C3H5CIO     alpha-EPICHLOROHYDRIN           0.39710   0.26476       0.30308 610.00 215.95 610.00       1174"
"164   |C3H5CIO2     METHYL CHLOROACETATE           040193     0.25108      0.30950 600.00 241.03 600.00        1.229"
"165   |C3H5CIO2     ETHYL CHLOROFORMATE             0.39599    0.26090      0.28300 508.15 192.00 508.15       1.127"
"166   |C3H5CI3      1,2,3-TRICHLOROPROPANE         0.42698    0.24650      0.28570 652.00 258.45 652.00        1.384"
"167   |C3Hs!        3-I0DO-1-PROPENE               0.58800    0.24900      0.28571 595.81 173.86 595.81        1.839"
"168   |C3H5N        PROPIONITRILE                  024012     0.23452      0.28040 564.40 180.26 564.40        0.777"
"169   |C3H5NO       ACRYLAMIDE                     0.27378    0.25200      0.28571 710.00 357.65 710.00        —"
"170   |C3H5NO       HYDRACRYLONITRILE              0.29250    0.23676      0.22451 690.00 227.15 690.00        1.040"
"171    |C3H5NO       LACTONITRILE                   0.29250    0.24607      0.23340 643.00 233.00 643.00        0.983"
"172    |C3H5N309      |NITROGLYCERINE               054197     0.27886      0.29995 680.00 286.15 680.00        1.586"
"173   |C3H6         CYCLOPROPANE                   0.25880    0.27400      0.28571 397.91 14573 397.91         0.619"
"174    |C3H6         PROPYLENE                      0.23314    0.27517      0.30246 364.76 87.90 364.76         0.504"
"175    |C3H6Br2      1,2-DIBROMOPROPANE             0.76340    0.33000      0.28571 634.11 217.96 634.11        1.925"
"176    |C3H6CI2      1,1-DICHLOROPROPANE            0.38737    0.26561      0.28571 560.00 200.00 560.00        1.126"
"177    |C3H6CI2      1,2-DICHLOROPROPANE            0.38661    0.26055      0.28571 572.00 172.71 572.00        1.150"
"178    |C3H6CI2      1,3-DICHLOROPROPANE            0.38827    0.26224      0.27100 603.00 173.65 603.00        1.181"
"179    |C3H6CI2      2,2-DICHLOROPROPANE            0.38630    0.26600      0.28571 539.46 239.36 539.46        1.106"
"180    |C3H6I2       1,2-DIIODOPROPANE              0.74510    0.24200      0.28571 780.49 253.16 780.49        2,566"
"181    |C3H60        ACETONE                        0.27728    0.25760      0.29903 508.20 178.45 508.20        0.786"
"182    |C3H60        ALLYL ALCOHOL                  0.28347    0.25408      0.28571 54505 144.15 54505          0.845"
"183    |C3H60        METHYL VINYL ETHER             0.27658    0.26436      0.25805 437.00 151.15 437.00        0.744"
"184    |C3H60        n-PROPIONALDEHYDE              0.26909    0.24390      0.28600 496.00 193.15 496.00        0.796"
"185    |C3H60        1,2-PROPYLENE OXIDE            0.31226    0.27634      0.29353 482.25 161.22 482.25        0.823"
"186    |C3H60        1,3-PROPYLENE OXIDE            0.30473    0.25347      0.28571 520.00 255.00 520.00        0.894"
"187    |C3H602       ETHYL FORMATE                  0.33311    0.26940      0.29354 508.40 193.55 508.40       0.917"
"188    |C3H602       METHYL ACETATE                 0.32119    0.25855      0.27450 506.80 175.15 506.80       0.927"
"189    |C3H602       PROPIONIC ACID                 0.32283    0.25916      0.27644 604.00 252.45 604.00       0.988"
"190    |C3H602S      3-MERCAPTOPROPIONIC ACID       0.37774    0.23621      0.40466 729.00 290.65 729.00        1.213"
"191    |C3H603       LACTIC ACID                    0.39816    0.26350      0.28570 616.00 291.15 616.00        1.201"
"192    |C3H603       METHOXYACETIC ACID             0.35888    0.25150      0.27447 691.00 281.00 691.00        1.170"
"193    |C3H603       TRIOXANE                       040372     0.25860      0.28570 604.00 334.65 604.00       —"
"194    |C3H6S        THIACYCLOBUTANE                0.30040    0.22800      0.28571 603.00 199.96 603.00        1.014"
"195    |C3H7Br       1-BROMOPROPANE                 046239     0.26021      0.29165 544.00 163.15 544.00        1.345"
"196    |C3H7Br       2-BROMOPROPANE                 046222     0.24800      0.38000 532.00 184.15 532.00        1.282"
"197    |C3H7CI       ISOPROPYL CHLORIDE             0.31887    0.27503      0.28571 489.00 155.97 489.00       0.855"
"198    |C3H7CI       n-PROPYL CHLORIDE              031422     0.27365      0.28570 503.15 150.35 503.15       0.856"
"199    |C3H7F        1-FLUOROPROPANE                0.30710    0.26300      0.28571 422.00 114.16 422.00       0.787"
"200    |C3H7F        2-FLUOROPROPANE                0.28810    0.26200      0.28571 41568 139.80 415.68        0.733"
"201    |C3H7I        ISOPROPYL IODIDE               058619     0.26661      0.30232 578.00 183.15 578.00       1.695"
